Applicant_ID,Name,Gender,Age,Experience_Years,Degree,Skills,Languages_Known,Applied_Role,Location,Salary_Expected,Certifications,Certifications_Count,Current_Employment_Status,Notice_Period_Days,Interview_Score,Work_Auth_Status,Previous_Company,Last_Company_Rating,Job_Type,Remote_Preference,Industry,GitHub_Profile,LinkedIn_Profile,Projects_Completed,Training_Completed,Employment_Gap_Years,Relocation_Ready,Freelance_Experience,Application_Status
78,Emma,Non-Binary,20,0,B.Sc,"Python, Machine Learning","Excel, Power BI",ML Engineer,New York,30000,Yes,5,Employed,30,2,No,Tesla,4,Part-time,Yes,Education,Yes,Yes,7,Yes,3,No,Yes,Pending
109,Sophia,Non-Binary,20,37,,"Excel, SQL, Python","Excel, Power BI",Data Analyst,Austin,288815,No,3,Employed,45,8,Yes,,1,Contract,Yes,Education,No,Yes,4,No,0,No,No,Rejected
674,Mike,Female,20,22,Ph.D,"SQL, Database Management","Excel, Power BI",Database Admin,New York,142068,Yes,4,Employed,30,6,No,Microsoft,5,Full-time,No,E-commerce,No,No,2,Yes,5,Yes,Yes,Pending
440,Amy,Female,20,10,B.Tech,"SQL, Database Management","SQL, R",Database Admin,Seattle,84920,No,0,Employed,60,5,Yes,Startup Inc.,3,Full-time,Yes,Finance,No,No,5,No,2,Yes,Yes,Pending
384,Sam,Non-Binary,20,12,B.Tech,"Excel, SQL, Python","English, Spanish",Data Analyst,New York,126828,No,4,Employed,15,2,No,Tesla,4,Part-time,No,Education,No,Yes,13,Yes,5,Yes,Yes,Rejected
890,John,Female,20,25,,"Power BI, SQL","Excel, Power BI",BI Developer,New York,158725,Yes,5,Unemployed,15,7,Yes,Microsoft,3,Part-time,No,Healthcare,No,No,8,Yes,2,No,No,Rejected
539,Mike,Female,20,5,M.Sc,,"Excel, Power BI",Data Scientist,Chicago,,Yes,1,Employed,60,2,Yes,Tesla,4,Full-time,Yes,IT,No,No,7,No,5,No,Yes,Rejected
231,Emma,Non-Binary,20,19,Ph.D,"Python, SQL, Statistics","Python, SQL",Data Scientist,Seattle,178257,Yes,4,Employed,90,,No,,4,Full-time,Yes,Retail,No,No,6,No,0,No,No,Pending
756,Robert,Male,20,24,B.Sc,"Python, Machine Learning","Python, SQL",ML Engineer,Chicago,159552,Yes,5,Employed,60,2,No,Tesla,2,Full-time,No,IT,No,Yes,13,No,1,No,Yes,Selected
639,David,Non-Binary,20,4,B.Tech,"SQL, Database Management","Excel, Power BI",Database Admin,Austin,,No,0,Unemployed,60,10,No,Startup Inc.,2,Full-time,No,IT,Yes,No,10,Yes,3,Yes,Yes,Selected
379,John,Female,20,20,B.Tech,"Python, Machine Learning","English, Spanish",ML Engineer,Austin,219520,No,3,Employed,30,,No,Startup Inc.,1,Part-time,No,Finance,Yes,Yes,14,No,3,Yes,No,Selected
741,Emma,Non-Binary,20,0,M.Sc,"SQL, Database Management","Excel, Power BI",Database Admin,New York,30000,No,2,Employed,60,7,Yes,,1,Full-time,Yes,Education,No,No,7,Yes,5,No,No,Pending
83,Robert,Non-Binary,20,35,B.Sc,"Python, Machine Learning","Excel, Power BI",ML Engineer,Seattle,,No,5,Unemployed,15,,No,None,3,Part-time,No,IT,No,No,3,No,0,Yes,No,Selected
626,Olivia,Female,20,21,Ph.D,"Excel, SQL, Python","Excel, Power BI",Data Analyst,Austin,159003,Yes,5,Employed,45,5,No,,2,Full-time,No,IT,Yes,Yes,5,Yes,3,Yes,Yes,Pending
114,John,Non-Binary,20,22,MBA,"Python, SQL, Statistics","English, French",Data Scientist,Austin,,No,1,Unemployed,30,7,No,IBM,4,Full-time,No,Retail,Yes,Yes,14,No,5,Yes,No,Selected
626,Olivia,Female,20,21,B.Tech,"Python, SQL, Statistics","English, Spanish",Data Scientist,San Francisco,167613,Yes,3,Unemployed,30,4,No,Google,2,Contract,No,E-commerce,Yes,Yes,14,No,4,Yes,No,Selected
741,Emma,Non-Binary,20,15,B.Sc,"SQL, Database Management","Java, C++",Database Admin,Austin,107520,No,5,Unemployed,90,2,No,Startup Inc.,4,Contract,No,Education,Yes,Yes,13,Yes,5,No,No,Pending
714,David,Non-Binary,21,15,MBA,"Python, SQL, Statistics","Excel, Power BI",Data Scientist,Seattle,177075,Yes,5,Unemployed,45,3,Yes,Startup Inc.,2,Full-time,No,Education,Yes,No,4,No,2,Yes,Yes,Selected
427,Sophia,Female,21,0,B.Tech,"SQL, Database Management","Java, C++",Database Admin,Austin,,Yes,2,Employed,30,2,No,Microsoft,4,Part-time,Yes,Retail,Yes,Yes,11,No,3,Yes,No,Pending
532,Robert,Non-Binary,21,3,B.Sc,"Python, Machine Learning","English, Spanish",ML Engineer,New York,45759,Yes,0,Unemployed,60,5,No,IBM,3,Full-time,No,E-commerce,No,Yes,1,No,3,Yes,No,Pending
448,Sam,Male,21,9,B.Sc,"Excel, SQL, Python","Excel, Power BI",Data Analyst,San Francisco,,Yes,4,Unemployed,30,6,No,None,2,Contract,No,Education,Yes,No,7,Yes,4,Yes,Yes,Pending
43,Amy,Male,21,5,MBA,"Power BI, SQL","Java, C++",BI Developer,Austin,61600,Yes,3,Employed,30,7,Yes,Startup Inc.,5,Full-time,Yes,Healthcare,Yes,No,2,Yes,1,No,No,Selected
54,Emma,Female,21,0,Ph.D,"Python, SQL, Statistics","SQL, R",Data Scientist,San Francisco,30000,No,2,Employed,30,3,Yes,Tesla,5,Contract,Yes,Retail,Yes,No,13,No,5,Yes,Yes,Pending
170,Sam,Female,21,27,M.Sc,,"Java, C++",Database Admin,Seattle,262389,Yes,2,Employed,90,4,Yes,None,4,Full-time,No,Finance,Yes,Yes,4,No,1,Yes,No,Rejected
836,Lisa,Female,21,15,M.Sc,"Power BI, SQL","English, Spanish",BI Developer,New York,136875,No,4,Unemployed,30,8,No,IBM,3,Full-time,Yes,E-commerce,No,Yes,7,Yes,5,No,No,Pending
318,David,Male,21,14,Ph.D,"Python, Machine Learning","Excel, Power BI",ML Engineer,Austin,148944,No,3,Employed,30,4,No,Google,4,Part-time,No,Retail,No,No,10,Yes,4,No,No,Rejected
621,Sophia,Male,21,16,Ph.D,,"English, French",Database Admin,San Francisco,145840,Yes,3,Unemployed,90,7,Yes,Tesla,3,Contract,Yes,IT,No,No,14,No,1,No,No,Rejected
183,David,Male,21,33,B.Tech,"Python, Machine Learning","English, Spanish",ML Engineer,Seattle,208200,No,0,Unemployed,45,6,Yes,Microsoft,1,Contract,Yes,Education,No,No,8,Yes,0,No,Yes,Rejected
230,Sam,Non-Binary,21,19,M.Sc,"SQL, Database Management","English, French",Database Admin,Chicago,165964,No,3,Employed,15,7,No,Amazon,2,Contract,No,Healthcare,No,Yes,12,No,4,No,Yes,Pending
175,Sophia,Female,21,15,B.Sc,"Power BI, SQL","Excel, Power BI",BI Developer,San Francisco,140640,No,5,Employed,90,1,No,Tesla,3,Part-time,Yes,Healthcare,No,No,14,No,5,No,Yes,Pending
258,Mike,Non-Binary,21,29,B.Tech,"Python, SQL, Statistics","Java, C++",Data Scientist,San Francisco,185498,Yes,4,Employed,90,3,No,None,4,Full-time,No,Finance,No,Yes,8,Yes,2,Yes,Yes,Rejected
141,Mike,Male,21,17,B.Sc,"Python, SQL, Statistics","SQL, R",Data Scientist,Chicago,181946,Yes,3,Employed,30,6,Yes,Google,1,Part-time,Yes,Retail,No,Yes,13,Yes,2,Yes,Yes,Selected
966,Sophia,Male,21,30,B.Sc,"SQL, Database Management","SQL, R",Database Admin,New York,295530,Yes,0,Employed,30,3,No,Tesla,4,Full-time,No,Healthcare,Yes,No,4,Yes,2,No,Yes,Rejected
320,Robert,Male,21,20,Ph.D,"SQL, Database Management","English, Spanish",Database Admin,San Francisco,198240,Yes,2,Employed,15,7,No,IBM,5,Part-time,Yes,Retail,Yes,Yes,1,Yes,5,Yes,No,Rejected
21,Lisa,Non-Binary,21,0,Ph.D,"Power BI, SQL","English, Spanish",BI Developer,Chicago,,No,5,Unemployed,30,9,Yes,IBM,5,Part-time,No,Education,No,Yes,6,Yes,3,Yes,No,Pending
175,David,Female,21,19,B.Tech,"SQL, Database Management","English, Spanish",Database Admin,San Francisco,126596,No,3,Unemployed,60,3,Yes,Google,2,Contract,No,Education,No,Yes,10,Yes,4,Yes,No,Pending
924,John,Male,21,2,M.Sc,"Power BI, SQL","Python, SQL",BI Developer,Seattle,43648,No,4,Employed,30,1,Yes,None,2,Part-time,No,Healthcare,No,Yes,10,Yes,4,Yes,Yes,Selected
684,Lisa,Non-Binary,21,2,B.Sc,"Python, Machine Learning","SQL, R",ML Engineer,Austin,47770,No,3,Unemployed,30,10,No,,1,Full-time,No,Education,Yes,Yes,6,Yes,1,Yes,No,Pending
949,John,Non-Binary,21,25,MBA,"Excel, SQL, Python","SQL, R",Data Analyst,Austin,162675,No,1,Unemployed,60,6,Yes,Tesla,5,Part-time,Yes,Retail,No,Yes,14,No,4,No,Yes,Rejected
17,David,Female,21,8,M.Sc,"Python, Machine Learning","Excel, Power BI",ML Engineer,Seattle,104856,No,0,Unemployed,15,1,Yes,Amazon,3,Part-time,No,Education,No,No,11,No,4,Yes,Yes,Rejected
320,Sophia,Male,21,38,MBA,"Python, SQL, Statistics","Python, SQL",Data Scientist,Chicago,292998,Yes,2,Unemployed,60,1,No,Tesla,5,Full-time,Yes,IT,No,Yes,12,Yes,1,Yes,No,Pending
174,Sam,Non-Binary,21,13,B.Sc,"Python, Machine Learning","English, Spanish",ML Engineer,San Francisco,103190,No,1,Unemployed,90,8,No,Amazon,2,Contract,Yes,Retail,No,No,7,No,4,No,No,Selected
865,Robert,Female,21,0,Ph.D,"Python, SQL, Statistics","English, Spanish",Data Scientist,Chicago,30000,No,4,Unemployed,60,9,Yes,IBM,4,Full-time,No,E-commerce,Yes,Yes,7,No,4,Yes,Yes,Pending
767,Sophia,Female,21,29,B.Tech,"Python, SQL, Statistics","English, French",Data Scientist,Chicago,318840,No,3,Employed,45,2,No,Tesla,1,Full-time,No,Education,No,No,4,No,0,Yes,Yes,Rejected
258,Mike,Non-Binary,21,27,M.Sc,"Power BI, SQL","Python, SQL",BI Developer,Seattle,229017,Yes,0,Employed,90,9,Yes,,5,Full-time,Yes,Education,Yes,No,14,No,5,Yes,Yes,Pending
209,David,Non-Binary,22,9,M.Sc,"Python, SQL, Statistics","Java, C++",Data Scientist,Seattle,104700,No,5,Employed,30,5,No,None,3,Part-time,Yes,Retail,Yes,No,0,No,1,Yes,No,Rejected
585,Sophia,Male,22,34,,"Excel, SQL, Python","SQL, R",Data Analyst,Austin,324678,No,3,Unemployed,90,8,No,Amazon,3,Part-time,Yes,Finance,No,Yes,12,Yes,0,Yes,Yes,Rejected
270,Robert,Male,22,10,M.Sc,"Python, SQL, Statistics","Excel, Power BI",Data Scientist,Seattle,87260,Yes,3,Employed,15,7,Yes,None,3,Full-time,No,E-commerce,Yes,Yes,10,Yes,3,Yes,Yes,Selected
308,Olivia,Male,22,6,B.Tech,"SQL, Database Management","Java, C++",Database Admin,Austin,69888,No,3,Employed,15,,Yes,IBM,1,Full-time,No,E-commerce,No,Yes,12,Yes,1,No,No,Rejected
312,Sam,Male,22,12,B.Sc,"Excel, SQL, Python","Java, C++",Data Analyst,New York,141744,Yes,5,Employed,60,4,Yes,Startup Inc.,3,Contract,Yes,E-commerce,Yes,Yes,3,Yes,5,Yes,Yes,Selected
648,Olivia,Non-Binary,22,5,M.Sc,"SQL, Database Management","Excel, Power BI",Database Admin,Austin,,Yes,3,Unemployed,90,2,No,,3,Part-time,Yes,Healthcare,No,Yes,3,Yes,4,No,No,Selected
113,Olivia,Female,22,30,MBA,"Python, SQL, Statistics","English, Spanish",Data Scientist,Austin,,No,0,Employed,30,5,Yes,Tesla,5,Part-time,Yes,IT,Yes,Yes,14,Yes,4,No,Yes,Pending
155,Lisa,Non-Binary,22,16,B.Sc,"Power BI, SQL","SQL, R",BI Developer,Chicago,115088,No,5,Unemployed,15,3,No,Startup Inc.,1,Part-time,No,IT,Yes,No,10,No,0,Yes,No,Rejected
771,John,Non-Binary,22,0,M.Sc,,"English, French",BI Developer,Chicago,30000,Yes,5,Employed,30,9,No,None,4,Part-time,Yes,Finance,No,Yes,2,Yes,0,Yes,Yes,Pending
240,Amy,Male,22,3,M.Sc,"Python, SQL, Statistics","English, Spanish",Data Scientist,San Francisco,53334,No,1,Employed,45,6,Yes,IBM,4,Full-time,Yes,E-commerce,Yes,Yes,7,No,3,Yes,No,Selected
555,David,Female,22,7,Ph.D,"Power BI, SQL","English, Spanish",BI Developer,Austin,86406,No,4,Employed,15,,No,IBM,3,Full-time,Yes,E-commerce,No,Yes,2,Yes,3,No,Yes,Pending
15,Amy,Male,22,5,B.Sc,"Python, Machine Learning","Python, SQL",ML Engineer,Chicago,75670,Yes,5,Unemployed,60,,No,Microsoft,2,Contract,Yes,Education,No,No,12,No,5,No,Yes,Selected
171,John,Female,22,0,B.Sc,"Python, Machine Learning","Java, C++",ML Engineer,Chicago,30000,Yes,1,Unemployed,45,4,Yes,IBM,1,Part-time,No,Retail,Yes,No,4,No,4,No,No,Pending
439,John,Male,22,0,B.Tech,,"Java, C++",BI Developer,Seattle,30000,No,0,Unemployed,90,9,No,,2,Part-time,Yes,Healthcare,No,No,1,Yes,2,Yes,No,Pending
729,Sophia,Non-Binary,22,14,B.Tech,"Python, Machine Learning","SQL, R",ML Engineer,Seattle,111606,Yes,4,Unemployed,30,6,No,Tesla,1,Full-time,No,Healthcare,No,No,5,Yes,3,No,Yes,Selected
793,David,Male,22,0,B.Sc,"SQL, Database Management","Java, C++",Database Admin,Seattle,30000,No,5,Unemployed,15,4,Yes,Amazon,1,Contract,No,Finance,No,Yes,14,Yes,4,Yes,Yes,Rejected
819,Mike,Non-Binary,22,4,,"Power BI, SQL","English, French",BI Developer,Seattle,60592,No,2,Employed,45,1,Yes,Microsoft,5,Full-time,Yes,IT,No,Yes,5,Yes,3,Yes,Yes,Rejected
858,Robert,Male,22,31,B.Tech,"Python, Machine Learning","English, French",ML Engineer,New York,242598,No,1,Employed,45,8,No,Microsoft,3,Part-time,No,E-commerce,Yes,No,7,No,1,No,Yes,Rejected
931,Emma,Non-Binary,22,6,Ph.D,"Excel, SQL, Python","English, French",Data Analyst,Seattle,66612,No,0,Unemployed,15,2,No,Startup Inc.,5,Part-time,Yes,Retail,Yes,No,7,Yes,0,No,Yes,Rejected
672,Lisa,Male,22,8,Ph.D,"Excel, SQL, Python","Excel, Power BI",Data Analyst,Austin,89848,Yes,0,Unemployed,90,8,No,IBM,2,Contract,Yes,Finance,Yes,Yes,0,Yes,4,Yes,Yes,Selected
563,Sophia,Female,22,10,M.Sc,"Excel, SQL, Python","SQL, R",Data Analyst,Chicago,98200,No,0,Employed,90,6,No,Tesla,2,Full-time,Yes,Healthcare,No,No,4,No,3,No,Yes,Pending
727,John,Non-Binary,22,7,B.Sc,"Python, Machine Learning","English, French",ML Engineer,New York,99559,Yes,4,Unemployed,60,8,Yes,,4,Part-time,Yes,Healthcare,Yes,No,1,No,0,No,No,Pending
585,Sophia,Non-Binary,22,23,B.Sc,"Excel, SQL, Python","Python, SQL",Data Analyst,Chicago,192817,No,3,Employed,90,6,No,Google,5,Part-time,Yes,Healthcare,Yes,No,9,Yes,2,Yes,Yes,Rejected
31,Robert,Female,22,0,B.Sc,"Excel, SQL, Python","Python, SQL",Data Analyst,Chicago,30000,No,2,Unemployed,60,5,No,None,5,Contract,No,E-commerce,Yes,No,11,Yes,3,No,No,Pending
204,Emma,Non-Binary,22,32,B.Sc,"Python, SQL, Statistics","English, Spanish",Data Scientist,San Francisco,268080,Yes,4,Employed,45,5,No,Microsoft,5,Part-time,No,E-commerce,No,Yes,4,No,4,No,Yes,Selected
858,Robert,Male,22,26,B.Tech,"Python, Machine Learning","English, Spanish",ML Engineer,Chicago,255784,No,4,Unemployed,15,10,No,Google,4,Part-time,Yes,E-commerce,Yes,No,9,Yes,1,Yes,Yes,Rejected
31,Robert,Female,22,38,M.Sc,"Excel, SQL, Python","SQL, R",Data Analyst,New York,267690,Yes,5,Unemployed,90,10,Yes,IBM,5,Full-time,No,Education,No,Yes,11,No,0,Yes,No,Rejected
270,Robert,Male,22,29,B.Tech,"Excel, SQL, Python","English, Spanish",Data Analyst,Chicago,260753,Yes,1,Employed,60,8,No,None,5,Contract,Yes,IT,Yes,No,8,No,0,No,Yes,Pending
793,David,Male,22,31,MBA,"SQL, Database Management","English, Spanish",Database Admin,New York,,No,2,Employed,45,7,Yes,Microsoft,5,Contract,No,Healthcare,Yes,No,3,Yes,1,No,No,Rejected
308,Olivia,Male,22,6,MBA,"SQL, Database Management","Python, SQL",Database Admin,Austin,73434,No,0,Unemployed,90,8,Yes,Google,5,Contract,No,Healthcare,No,Yes,7,No,4,No,Yes,Selected
993,Amy,Male,23,31,B.Tech,"Python, SQL, Statistics","English, Spanish",Data Scientist,Seattle,245109,No,4,Unemployed,30,8,Yes,Startup Inc.,2,Full-time,Yes,Education,Yes,Yes,0,Yes,5,Yes,Yes,Rejected
544,Lisa,Male,23,23,B.Tech,,"Python, SQL",BI Developer,Chicago,151187,No,2,Employed,45,7,Yes,Google,3,Contract,No,Healthcare,No,No,7,Yes,2,No,Yes,Rejected
661,Amy,Non-Binary,23,6,MBA,"Python, SQL, Statistics","English, French",Data Scientist,Chicago,88980,Yes,1,Unemployed,90,2,Yes,None,2,Part-time,No,Healthcare,No,No,5,Yes,5,Yes,Yes,Rejected
56,Olivia,Female,23,0,,,"English, French",Database Admin,San Francisco,30000,No,3,Employed,45,9,No,Startup Inc.,5,Contract,No,E-commerce,Yes,No,7,No,1,Yes,No,Selected
723,Emma,Female,23,13,Ph.D,"Power BI, SQL","SQL, R",BI Developer,Chicago,159727,No,2,Employed,15,,Yes,None,1,Part-time,Yes,E-commerce,No,Yes,5,Yes,2,Yes,No,Pending
263,Mike,Female,23,24,M.Sc,"Python, Machine Learning","Excel, Power BI",ML Engineer,New York,240600,No,0,Unemployed,15,6,Yes,Amazon,1,Contract,No,IT,No,No,10,Yes,4,Yes,No,Selected
831,David,Female,23,23,MBA,"Python, Machine Learning","English, Spanish",ML Engineer,Austin,170576,No,4,Employed,15,9,Yes,IBM,4,Contract,No,Healthcare,No,No,2,No,3,No,Yes,Selected
812,Sophia,Male,23,19,B.Tech,"Python, SQL, Statistics","English, French",Data Scientist,Austin,137312,No,3,Employed,30,1,No,Tesla,2,Full-time,No,Finance,No,Yes,14,Yes,3,No,No,Rejected
290,Emma,Non-Binary,23,29,,"Power BI, SQL","English, French",BI Developer,San Francisco,209191,Yes,1,Unemployed,15,,Yes,Google,4,Contract,No,Healthcare,Yes,No,11,Yes,5,No,Yes,Selected
53,David,Non-Binary,23,11,Ph.D,"Python, SQL, Statistics","SQL, R",Data Scientist,New York,108562,No,0,Employed,30,,No,Microsoft,4,Contract,No,Healthcare,No,No,14,Yes,4,No,No,Pending
359,David,Non-Binary,23,39,B.Sc,"Python, SQL, Statistics","Java, C++",Data Scientist,Seattle,225624,Yes,3,Employed,15,10,Yes,None,1,Full-time,No,IT,No,No,10,No,2,No,Yes,Selected
844,Lisa,Male,23,32,MBA,"Python, Machine Learning","Java, C++",ML Engineer,New York,193712,No,5,Employed,45,3,Yes,None,2,Part-time,No,Finance,Yes,Yes,7,No,5,Yes,No,Selected
38,Mike,Non-Binary,23,32,M.Sc,"Power BI, SQL","SQL, R",BI Developer,San Francisco,239440,No,5,Employed,90,,No,IBM,3,Contract,No,Healthcare,Yes,No,4,Yes,1,Yes,No,Rejected
947,Amy,Female,23,9,,"Python, Machine Learning","Python, SQL",ML Engineer,Austin,103359,No,1,Unemployed,90,1,No,Google,2,Contract,No,Retail,Yes,No,11,Yes,5,No,No,Pending
423,Robert,Non-Binary,23,11,B.Tech,"Power BI, SQL","Excel, Power BI",BI Developer,Austin,114623,Yes,0,Employed,15,4,No,Microsoft,4,Part-time,Yes,Retail,No,No,9,Yes,4,No,No,Pending
906,Sam,Non-Binary,23,7,B.Sc,"Python, Machine Learning","SQL, R",ML Engineer,New York,93623,No,4,Unemployed,90,8,Yes,Microsoft,5,Full-time,No,Finance,No,No,4,No,4,No,Yes,Selected
964,Sophia,Male,23,30,M.Sc,"Python, SQL, Statistics","Java, C++",Data Scientist,New York,218280,Yes,1,Employed,15,6,No,None,4,Contract,No,Retail,No,Yes,14,Yes,3,No,No,Rejected
704,David,Non-Binary,23,22,Ph.D,"Python, Machine Learning","Excel, Power BI",ML Engineer,San Francisco,211280,Yes,3,Unemployed,15,1,No,Tesla,2,Full-time,No,E-commerce,No,No,11,Yes,1,Yes,No,Rejected
725,Robert,Male,23,8,B.Tech,"Power BI, SQL","English, French",BI Developer,Austin,109536,No,0,Employed,60,1,No,None,1,Part-time,No,E-commerce,Yes,No,6,Yes,3,No,No,Selected
791,Sophia,Male,23,41,Ph.D,"Python, Machine Learning","SQL, R",ML Engineer,San Francisco,390308,Yes,5,Unemployed,60,3,No,,2,Part-time,No,Finance,Yes,No,5,No,2,Yes,No,Selected
188,Lisa,Female,23,2,Ph.D,"Python, SQL, Statistics","Python, SQL",Data Scientist,Seattle,40742,No,5,Employed,60,10,No,None,3,Full-time,Yes,Healthcare,No,No,8,No,2,Yes,Yes,Pending
661,Sophia,Female,23,32,MBA,"Power BI, SQL","Excel, Power BI",BI Developer,San Francisco,279824,No,2,Employed,30,8,Yes,None,5,Part-time,Yes,Finance,No,Yes,6,No,0,No,Yes,Pending
812,David,Non-Binary,23,33,MBA,"Power BI, SQL","Java, C++",BI Developer,Seattle,,Yes,0,Employed,60,8,No,Microsoft,5,Part-time,Yes,Retail,No,No,2,No,4,Yes,Yes,Selected
993,Amy,Male,23,28,B.Tech,"Excel, SQL, Python","English, French",Data Analyst,Austin,244508,No,3,Employed,15,,Yes,Tesla,4,Contract,Yes,Finance,No,No,10,No,1,No,No,Selected
423,Robert,Non-Binary,23,17,Ph.D,"Excel, SQL, Python","SQL, R",Data Analyst,San Francisco,,No,3,Unemployed,45,7,No,Microsoft,2,Full-time,No,Retail,Yes,Yes,10,Yes,1,Yes,No,Rejected
290,Emma,Non-Binary,23,8,M.Sc,"Power BI, SQL","English, Spanish",BI Developer,New York,109024,Yes,2,Unemployed,60,3,No,Google,1,Contract,No,E-commerce,Yes,No,11,Yes,3,Yes,Yes,Selected
812,David,Non-Binary,23,12,B.Sc,"Python, SQL, Statistics","English, French",Data Scientist,San Francisco,148788,Yes,3,Employed,60,4,Yes,None,3,Full-time,No,Finance,Yes,Yes,4,Yes,5,Yes,Yes,Selected
841,Emma,Female,24,0,B.Sc,"Power BI, SQL","Java, C++",BI Developer,Chicago,30000,Yes,0,Unemployed,45,9,Yes,Amazon,4,Contract,Yes,Education,Yes,No,8,Yes,5,Yes,Yes,Pending
193,Amy,Non-Binary,24,24,,"Python, SQL, Statistics","SQL, R",Data Scientist,Austin,192552,Yes,5,Employed,15,4,Yes,Tesla,2,Part-time,Yes,Retail,No,Yes,10,No,3,Yes,Yes,Selected
414,Emma,Male,24,33,B.Sc,"Excel, SQL, Python","Java, C++",Data Analyst,New York,,Yes,1,Employed,30,3,Yes,Startup Inc.,1,Full-time,Yes,Education,Yes,Yes,12,No,5,No,Yes,Pending
973,Emma,Male,24,40,Ph.D,"Python, SQL, Statistics","English, Spanish",Data Scientist,Chicago,314120,Yes,5,Unemployed,60,5,No,Startup Inc.,2,Full-time,Yes,E-commerce,No,No,14,Yes,1,Yes,No,Pending
882,Lisa,Female,24,5,M.Sc,"Excel, SQL, Python","English, French",Data Analyst,Chicago,61870,No,5,Unemployed,45,7,Yes,Startup Inc.,1,Full-time,No,Healthcare,Yes,Yes,9,No,3,No,No,Pending
624,Mike,Non-Binary,24,13,B.Tech,"Excel, SQL, Python","Excel, Power BI",Data Analyst,San Francisco,136639,Yes,0,Unemployed,15,5,No,Amazon,2,Full-time,No,Retail,Yes,Yes,13,Yes,5,No,Yes,Pending
902,Mike,Male,24,33,,"Python, Machine Learning","Excel, Power BI",ML Engineer,Austin,340299,Yes,3,Employed,90,4,No,Microsoft,2,Part-time,Yes,Healthcare,No,No,1,No,0,Yes,No,Pending
357,John,Non-Binary,24,7,Ph.D,,"English, French",Data Scientist,Austin,89822,No,2,Employed,30,8,No,Microsoft,4,Part-time,No,E-commerce,Yes,No,0,Yes,4,No,No,Rejected
735,Olivia,Male,24,18,Ph.D,"Power BI, SQL","Excel, Power BI",BI Developer,Seattle,191586,No,2,Unemployed,45,4,Yes,IBM,2,Part-time,Yes,Healthcare,Yes,No,10,Yes,0,Yes,Yes,Pending
